CropCode,CropName
11,椰子
119,椰子-進口
12,椰子-剝殼
129,椰子-剝殼進口
22,棗子
229,棗子-進口
30,釋迦-其他
31,釋迦
32,釋迦-鳳梨釋迦
41,梅
42,楊梅
43,桑椹
45,草莓
459,草莓-進口
46,藍莓
469,藍莓-進口
50,百香果-其他
51,百香果-改良種
61,甘蔗-帶皮
62,甘蔗-削皮
